x y z risk twi slope
469.035 4314.19 -120 -0.06 0 0
470.115 4314.19 -120 -0.06 0 0
471.195 4314.19 -120 -0.06 0 0
472.275 4314.19 -120 -0.06 0 0
473.355 4314.19 -120 -0.06 0 0
474.435 4314.19 -120 -0.06 0 0
475.515 4314.19 -120 -0.06 0 0
476.595 4314.19 -120 -0.06 0 0
477.675 4314.19 -120 -0.06 0 0
478.755 4314.19 -120 -0.06 0 0
479.835 4314.19 -120 -0.06 0 0
480.915 4314.19 -120 -0.06 0 0
481.995 4314.19 4.36396 0.523618 9.43022 4.03842
483.075 4314.19 100.743 0.513094 9.92495 17.871
484.155 4314.19 296.188 0.584389 7.97338 19.1796
485.235 4314.19 495.53 0.512217 9.21291 13.4425
486.315 4314.19 688.639 0.602062 7.89776 15.4408
487.395 4314.19 584.186 0.54044 8.80292 5.6213
488.475 4314.19 530.832 0.500297 8.73331 6.47667
489.555 4314.19 506.836 0.575286 8.49478 7.92701
490.635 4314.19 424.771 0.521308 9.49545 3.05025
491.715 4314.19 321.091 0.578661 7.52663 15.0878
492.795 4314.19 170.778 0.485303 8.41667 10.0159
493.875 4314.19 78.0922 0.492648 9.31355 3.07927
494.955 4314.19 43.7903 0.434657 11.9736 2.84448
496.035 4314.19 47.4947 0.479009 10.2792 1.93836
497.115 4314.19 33.2617 0.419457 12.0711 2.40054
498.195 4314.19 17.8385 0.487359 9.64194 2.15632
499.275 4314.19 11.7973 0.466706 10.1054 1.56731
500.355 4314.19 5.54249 0.462066 10.4451 0.29904
501.435 4314.19 5.05769 0.460476 10.4451 0.344454
502.515 4314.19 5.01551 0.462343 10.4451 0.406605
503.595 4314.19 5.90945 0.385401 12.843 0.791
504.675 4314.19 35.8362 0.46191 10.4892 1.80042
505.755 4314.19 74.0402 0.440307 11.691 9.48236
506.835 4314.19 158.049 0.476589 8.86897 8.75517
507.915 4314.19 234.736 0.488147 9.22498 3.13587
508.995 4314.19 200.317 0.493127 9.21536 0.956009
510.075 4314.19 222.206 0.45378 10.5672 3.65395
511.155 4314.19 237.03 0.486011 9.08935 5.04587
512.235 4314.19 173.952 0.559884 8.7932 12.404
513.315 4314.19 189.267 0.506522 8.15743 12.8056
514.395 4314.19 319.232 0.544037 7.85664 7.67618
515.475 4314.19 278.474 0.508096 8.96392 12.2924
516.555 4314.19 433.741 0.471263 7.96208 14.7733
517.635 4314.19 326.438 0.526596 8.68073 20.4602
518.715 4314.19 394.013 0.648591 7.63641 19.9095
519.795 4314.19 307.103 0.476282 8.65255 23.4792
520.875 4314.19 409.977 0.598109 7.93782 10.6618
521.955 4314.19 442.567 0.496398 8.92583 4.07521
523.035 4314.19 392.656 0.453799 9.03635 11.5135
524.115 4314.19 475.757 0.594459 7.69784 16.1417
525.195 4314.19 328.365 0.419303 11.4783 6.29766
526.275 4314.19 460.948 0.461654 8.51259 12.9015
527.355 4314.19 405.445 0.515307 8.90185 10.5567
528.435 4314.19 278.36 0.348116 14.2215 2.7542
529.515 4314.19 471.878 0.530187 7.79122 5.00828
530.595 4314.19 477.357 0.3781 12.5449 16.0355
531.675 4314.19 598.43 0.458626 10.283 7.84078
532.755 4314.19 731.996 0.536953 7.95387 12.4682
533.835 4314.19 713.332 0.608171 9.00416 21.5567
534.915 4314.19 802.47 0.462975 10.1724 2.71753
535.995 4314.19 762.405 0.425557 10.5507 8.03699
537.075 4314.19 740.208 0.5179 8.43788 8.22697
538.155 4314.19 665.743 0.446499 12.1151 4.59164
539.235 4314.19 703.622 0.64371 7.36246 22.6377
540.315 4314.19 553.089 0.583837 8.0896 25.5733
541.395 4314.19 523.578 0.521299 7.64943 11.8589
542.475 4314.19 452.32 0.513138 9.30936 7.36855
543.555 4314.19 396.019 0.429978 12.3459 4.86887
544.635 4314.19 452.619 0.539358 8.98759 5.35676
545.715 4314.19 431.848 0.492021 10.8909 9.98418
546.795 4314.19 452.057 0.536962 8.64707 4.6366
547.875 4314.19 409.597 0.540976 8.21218 1.87387
548.955 4314.19 246.172 0.405559 12.8514 1.72743
550.035 4314.19 228.567 0.407772 12.7052 1.49545
551.115 4314.19 274.157 0.558588 8.406 12.231
552.195 4314.19 233.188 0.473669 9.93854 1.24772
553.275 4314.19 206.036 0.418322 12.1183 1.91551
554.355 4314.19 208.125 0.420915 12.0992 3.76766
555.435 4314.19 220.154 0.413993 12.4749 2.42815
556.515 4314.19 231.609 0.511798 9.137 6.386
557.595 4314.19 224.233 0.529345 8.81449 5.57896
558.675 4314.19 198.146 0.494633 9.69324 2.53909
559.755 4314.19 220.728 0.500279 9.3294 1.69576
560.835 4314.19 218.798 0.49119 9.54513 3.8488
561.915 4314.19 207.534 0.516814 8.94492 3.84126
562.995 4314.19 165.252 0.511892 9.0666 3.35046
564.075 4314.19 159.69 0.498273 9.24702 1.75898
565.155 4314.19 130.403 0.389101 12.9649 1.34098
566.235 4314.19 120.416 0.48048 9.66141 2.59286
567.315 4314.19 106.806 0.347269 14.1828 0.484242
568.395 4314.19 106.28 0.436174 11.1383 1.03347
569.475 4314.19 105.028 0.453247 10.4451 0.27563
570.555 4314.19 105.87 0.348519 14.0827 0.491581
571.635 4314.19 111.064 0.429846 11.1383 0.168254
572.715 4314.19 114.081 0.450819 10.4451 0.404625
573.795 4314.19 119.276 0.456546 10.4451 1.43816
574.875 4314.19 117.314 0.32731 14.6348 0.207054
575.955 4314.19 128.841 0.360975 13.3974 0.716933
577.035 4314.19 158.03 0.393999 12.132 2.35195
578.115 4314.19 230.532 0.474476 10.2704 9.80128
579.195 4314.19 355.602 0.522433 8.1059 6.65021
580.275 4314.19 366.914 0.576817 9.41441 18.9248
581.355 4314.19 394.21 0.27762 13.524 18.9738
582.435 4314.19 416.249 0.387752 13.1987 5.70935
583.515 4314.19 520.901 0.605241 8.96103 18.4598
584.595 4314.19 550.157 0.505464 8.70858 23.1169
585.675 4314.19 766.356 0.547988 7.35573 7.25373
586.755 4314.19 769.523 0.530828 8.26868 26.4193
587.835 4314.19 815.957 0.522666 9.69844 11.6318
588.915 4314.19 911.011 0.600981 7.97476 18.4157
589.995 4314.19 756.11 0.464903 10.4392 6.15893
591.075 4314.19 785.191 0.471888 9.17697 4.90707
592.155 4314.19 681.385 0.393226 10.606 13.0803
593.235 4314.19 676.601 0.559449 7.87669 17.5615
594.315 4314.19 716.124 0.434523 10.2691 8.80365
