t Tsurf Tprobe theta lnR dTdt dlnR
2.1972222 12.220039 16.739004 0.14990401 7.7346951 -0.16510924 0.00047008859
2.2069444 12.21476 16.729389 0.1499002 7.7349689 -0.16451921 0.00046871475
2.2166667 12.209545 16.719809 0.14989639 7.735242 -0.16392829 0.00046733833
2.2263889 12.204394 16.710263 0.14989258 7.7355142 -0.16333647 0.00046595934
2.2361111 12.199306 16.700752 0.14988877 7.7357856 -0.16274376 0.00046457777
2.2458333 12.194281 16.691275 0.14988497 7.7360563 -0.16215015 0.00046319364
2.2555556 12.18932 16.681833 0.14988117 7.7363261 -0.16155566 0.00046180694
2.2652778 12.184423 16.672426 0.14987737 7.7365951 -0.16096028 0.00046041768
2.275 12.179589 16.663053 0.14987358 7.7368633 -0.160364 0.00045902586
2.2847222 12.174818 16.653715 0.14986979 7.7371306 -0.15976684 0.00045763148
2.2944444 12.170112 16.644412 0.149866 7.7373972 -0.15916879 0.00045623456
2.3041667 12.165469 16.635144 0.14986222 7.7376629 -0.15856985 0.00045483509
2.3138889 12.16089 16.625911 0.14985844 7.7379279 -0.15797002 0.00045343309
2.3236111 12.156374 16.616713 0.14985466 7.738192 -0.15736932 0.00045202854
2.3333333 12.151922 16.60755 0.14985089 7.7384553 -0.15676773 0.00045062147
2.3430556 12.147535 16.598422 0.14984712 7.7387177 -0.15616525 0.00044921187
2.3527778 12.14321 16.58933 0.14984335 7.7389794 -0.1555619 0.00044779974
2.3625 12.13895 16.580272 0.14983958 7.7392402 -0.15495767 0.00044638511
2.3722222 12.134754 16.57125 0.14983582 7.7395002 -0.15435256 0.00044496796
2.3819444 12.130621 16.562263 0.14983206 7.7397594 -0.15374658 0.0004435483
2.3916667 12.126553 16.553312 0.14982831 7.7400177 -0.15313972 0.00044212615
2.4013889 12.122548 16.544396 0.14982456 7.7402752 -0.15253198 0.0004407015
2.4111111 12.118608 16.535515 0.14982081 7.7405319 -0.15192338 0.00043927436
2.4208333 12.114731 16.52667 0.14981706 7.7407877 -0.15131391 0.00043784474
2.4305556 12.110919 16.517861 0.14981332 7.7410428 -0.15070356 0.00043641264
2.4402778 12.10717 16.509087 0.14980958 7.7412969 -0.15009236 0.00043497807
2.45 12.103486 16.500349 0.14980584 7.7415503 -0.14948028 0.00043354104
2.4597222 12.099866 16.491646 0.1498021 7.7418028 -0.14886735 0.00043210155
2.4694444 12.09631 16.48298 0.14979837 7.7420544 -0.14825355 0.00043065961
2.4791667 12.092818 16.474349 0.14979465 7.7423052 -0.14763889 0.00042921522
2.4888889 12.08939 16.465754 0.14979092 7.7425552 -0.14702338 0.00042776839
2.4986111 12.086027 16.457195 0.1497872 7.7428043 -0.14640701 0.00042631913
2.5083333 12.082727 16.448672 0.14978348 7.7430526 -0.14578979 0.00042486745
2.5180556 12.079492 16.440185 0.14977976 7.7433 -0.14517171 0.00042341334
2.5277778 12.076321 16.431734 0.14977605 7.7435466 -0.14455279 0.00042195683
2.5375 12.073215 16.423319 0.14977234 7.7437924 -0.14393302 0.00042049791
2.5472222 12.070173 16.414941 0.14976863 7.7440372 -0.1433124 0.00041903659
2.5569444 12.067195 16.406598 0.14976493 7.7442813 -0.14269095 0.00041757289
2.5666667 12.064281 16.398292 0.14976123 7.7445244 -0.14206864 0.0004161068
2.5763889 12.061432 16.390022 0.14975753 7.7447668 -0.14144551 0.00041463834
