t Tsurf Tprobe theta dTdt dlnR
13.261111 57.759421 49.627902 0.13597813 0.46520628 -0.00089734934
13.3 57.856876 49.735966 0.13602347 0.46091779 -0.00088971071
13.338889 57.952273 49.84302 0.13606866 0.45654718 -0.00088190889
13.377778 58.045602 49.949044 0.13611372 0.45209576 -0.00087394622
13.416667 58.136853 50.05402 0.1361586 0.44756479 -0.00086582501
13.455556 58.226016 50.157929 0.13620332 0.44295557 -0.00085754757
13.494444 58.313083 50.260754 0.13624785 0.43826936 -0.00084911623
13.533333 58.398045 50.362476 0.13629217 0.43350744 -0.00084053329
13.572222 58.480892 50.463078 0.13633628 0.42867107 -0.00083180109
13.611111 58.561616 50.562543 0.13638017 0.42376151 -0.00082292193
13.65 58.640209 50.660854 0.13642381 0.41878002 -0.00081389814
13.688889 58.716663 50.757994 0.1364672 0.41372785 -0.00080473203
13.727778 58.790969 50.853946 0.13651032 0.40860626 -0.00079542595
13.766667 58.86312 50.948696 0.13655317 0.4034165 -0.00078598221
13.805556 58.933109 51.042226 0.13659572 0.39815982 -0.00077640316
13.844444 59.000928 51.134522 0.13663797 0.39283745 -0.00076669112
13.883333 59.06657 51.225568 0.1366799 0.38745066 -0.00075684845
13.922222 59.130028 51.31535 0.1367215 0.38200068 -0.00074687747
13.961111 59.191297 51.403852 0.13676276 0.37648875 -0.00073678056
14 59.250368 51.491062 0.13680367 0.37091612 -0.00072656005
14.038889 59.307237 51.576963 0.13684421 0.36528403 -0.00071621831
14.077778 59.361898 51.661544 0.13688438 0.35959372 -0.00070575769
14.116667 59.414344 51.74479 0.13692415 0.35384644 -0.00069518057
14.155556 59.46457 51.826688 0.13696353 0.34804341 -0.0006844893
14.194444 59.512572 51.907225 0.13700249 0.34218588 -0.00067368626
14.233333 59.558344 51.986389 0.13704103 0.33627508 -0.00066277383
14.272222 59.601881 52.064168 0.13707913 0.33031226 -0.00065175439
14.311111 59.643179 52.140549 0.13711679 0.32429865 -0.0006406303
14.35 59.682233 52.215521 0.13715399 0.31823548 -0.00062940396
14.388889 59.71904 52.289073 0.13719073 0.31212399 -0.00061807775
14.427778 59.753596 52.361192 0.13722699 0.30596541 -0.00060665406
14.466667 59.785898 52.431869 0.13726276 0.29976098 -0.00059513526
14.505556 59.81594 52.501093 0.13729803 0.29351192 -0.00058352376
14.544444 59.843722 52.568854 0.1373328 0.28721947 -0.00057182194
14.583333 59.869239 52.635141 0.13736704 0.28088486 -0.00056003218
14.622222 59.89249 52.699945 0.13740076 0.2745093 -0.00054815689
14.661111 59.913471 52.763256 0.13743395 0.26809403 -0.00053619844
14.7 59.932181 52.825066 0.13746658 0.26164027 -0.00052415922
14.738889 59.948618 52.885365 0.13749867 0.25514924 -0.00051204163
14.777778 59.962779 52.944146 0.13753019 0.24862216 -0.00049984804
14.816667 59.974665 53.001399 0.13756113 0.24206025 -0.00048758083
14.855556 59.984272 53.057116 0.1375915 0.23546472 -0.0004752424
14.894444 59.9916 53.111291 0.13762128 0.22883679 -0.00046283512
14.933333 59.996649 53.163916 0.13765046 0.22217767 -0.00045036135
14.972222 59.999418 53.214983 0.13767903 0.21548855 -0.00043782348
15.011111 59.999907 53.264485 0.137707 0.20877066 -0.00042522386
15.05 59.998115 53.312417 0.13773434 0.20202518 -0.00041256487
15.088889 59.994043 53.358771 0.13776106 0.19525333 -0.00039984885
15.127778 59.987692 53.403542 0.13778714 0.18845628 -0.00038707817
15.166667 59.979061 53.446724 0.13781259 0.18163523 -0.00037425517
15.205556 59.968152 53.488311 0.13783738 0.17479138 -0.00036138218
15.244444 59.954966 53.528299 0.13786153 0.1679259 -0.00034846155
15.283333 59.939504 53.566682 0.13788501 0.16103997 -0.0003354956
15.322222 59.921768 53.603457 0.13790783 0.15413477 -0.00032248666
15.361111 59.90176 53.638617 0.13792998 0.14721147 -0.00030943703
15.4 59.879482 53.67216 0.13795145 0.14027123 -0.00029634902
15.438889 59.854935 53.704081 0.13797225 0.13331523 -0.00028322493
15.477778 59.828124 53.734378 0.13799235 0.12634461 -0.00027006706
15.516667 59.79905 53.763046 0.13801177 0.11936052 -0.00025687767
15.555556 59.767716 53.790083 0.13803049 0.11236412 -0.00024365904
15.594444 59.734126 53.815486 0.13804852 0.10535654 -0.00023041343
15.633333 59.698283 53.839252 0.13806584 0.098338927 -0.00021714309
15.672222 59.660191 53.86138 0.13808245 0.091312405 -0.00020385026
15.711111 59.619854 53.881867 0.13809835 0.084278099 -0.00019053718
