S nodes capex p0p5 a0p5 t0p5 p1 a1 t1 p3 a3 t3 p10 a10 t10 p30 a30 t30
119.15966 0.81324906 3992.8414 0.00043112469 1.4312969 56.248206 0.0015197184 1.3833622 55.298299 0.011503794 1.2110076 51.738908 0.10869086 0.72899278 40.142594 0.85883676 0.03676679 9.0151234
120.71429 0.79243705 3890.6599 0.0004200917 1.4696157 56.996174 0.001480827 1.4210382 56.046267 0.011209398 1.2462748 52.486875 0.10590933 0.75641218 40.890561 0.83685811 0.043120825 9.7630912
122.26891 0.77241384 3792.3511 0.00040947687 1.5084406 57.744142 0.0014434096 1.4592203 56.794235 0.010926161 1.2820481 53.234843 0.10323322 0.78433777 41.638529 0.81571247 0.049981043 10.511059
123.82353 0.75314006 3697.7219 0.00039925933 1.5477718 58.492109 0.0014073927 1.4979087 57.542203 0.010653524 1.3183276 53.982811 0.10065728 0.81276954 42.386497 0.79535828 0.057347444 11.259027
125.37815 0.73457879 3606.5909 0.00038941952 1.5876092 59.240077 0.0013727073 1.5371032 58.290171 0.010390966 1.3551133 54.730779 0.098176562 0.84170749 43.134465 0.77575653 0.06522003 12.006995
126.93277 0.71669532 3518.7877 0.00037993902 1.6279527 59.988045 0.0013392885 1.5768039 59.038138 0.010137996 1.3924052 55.478747 0.095786435 0.87115163 43.882433 0.75687059 0.073598799 12.754962
128.48739 0.69945706 3434.1523 0.00037080057 1.6688024 60.736013 0.0013070753 1.6170107 59.786106 0.0098941525 1.4302033 56.226714 0.093482538 0.90110195 44.6304 0.73866601 0.082483752 13.50293
130.04202 0.68283334 3352.5341 0.00036198789 1.7101583 61.483981 0.0012760106 1.6577238 60.534074 0.009659002 1.4685076 56.974682 0.091260775 0.93155846 45.378368 0.72111042 0.091874888 14.250898
131.59664 0.66679528 3273.7914 0.00035348569 1.7520204 62.231948 0.0012460402 1.698943 61.282042 0.009432136 1.507318 57.72265 0.089117286 0.96252115 46.126336 0.70417333 0.10177221 14.998866
133.15126 0.6513157 3197.7907 0.00034527956 1.7943887 62.979916 0.0012171135 1.7406685 62.030009 0.0092131699 1.5466346 58.470618 0.087048438 0.99399002 46.874304 0.68782602 0.11217571 15.746833
134.70588 0.63636896 3124.4061 0.0003373559 1.8372631 63.727884 0.0011891826 1.7829001 62.777977 0.0090017412 1.5864574 59.218586 0.085050804 1.0259651 47.622272 0.67204142 0.1230854 16.494801
136.2605 0.62193089 3053.5189 0.0003297019 1.8806438 64.475852 0.0011622022 1.8256379 63.525945 0.0087975079 1.6267864 59.966553 0.083121154 1.0584463 48.370239 0.65679401 0.13450127 17.242769
137.81513 0.60797866 2985.0171 0.00032230546 1.9245306 65.22382 0.0011361296 1.8688818 64.273913 0.008600147 1.6676216 60.714521 0.081256436 1.0914337 49.118207 0.64205967 0.14642333 17.990737
139.36975 0.59449072 2918.7949 0.00031515515 1.9689236 65.971787 0.0011109247 1.912632 65.021881 0.0084093537 1.708963 61.462489 0.079453771 1.1249274 49.866175 0.62781565 0.15885156 18.738705
140.92437 0.58144669 2854.7521 0.00030824017 2.0138228 66.719755 0.0010865494 1.9568883 65.769848 0.0082248397 1.7508105 62.210457 0.077710435 1.1589271 50.614143 0.61404042 0.17178599 19.486672
142.47899 0.56882731 2792.7942 0.0003015503 2.0592282 67.467723 0.0010629675 2.0016509 66.517816 0.0080463326 1.7931642 62.958424 0.076023854 1.1934331 51.36211 0.60071365 0.18522659 20.23464
144.03361 0.55661435 2732.8317 0.00029507589 2.1051397 68.215691 0.0010401451 2.0469196 67.265784 0.0078735744 1.8360241 63.706392 0.074391589 1.2284453 52.110078 0.58781607 0.19917338 20.982608
145.58824 0.54479052 2674.7798 0.00028880777 2.1515575 68.963658 0.00101805 2.0926945 68.013752 0.0077063208 1.8793902 64.45436 0.072811333 1.2639636 52.858046 0.57532945 0.21362636 21.730576
147.14286 0.53333949 2618.5582 0.00028273727 2.1984814 69.711626 0.00099665142 2.1389756 68.76172 0.0075443404 1.9232625 65.202328 0.0712809 1.2999881 53.606014 0.56323651 0.22858551 22.478544
148.69748 0.52224573 2564.0907 0.00027685618 2.2459115 70.459594 0.00097592052 2.1857628 69.509687 0.007387414 1.967641 65.950296 0.069798218 1.3365189 54.353982 0.55152087 0.24405085 23.226511
150.2521 0.51149454 2511.3052 0.00027115669 2.2938478 71.207562 0.00095582977 2.2330563 70.257655 0.0072353333 2.0125256 66.698263 0.06836132 1.3735558 55.101949 0.54016701 0.26002238 23.974479
151.80672 0.50107196 2460.133 0.00026563141 2.3422903 71.95553 0.0009363531 2.2808559 71.005623 0.0070879009 2.0579164 67.446231 0.06696834 1.4110988 55.849917 0.52916018 0.27650009 24.722447
153.36134 0.49096473 2410.5092 0.0002602733 2.3912389 72.703497 0.00091746572 2.3291617 71.753591 0.0069449293 2.1038135 68.194199 0.065617508 1.4491481 56.597885 0.51848638 0.29348398 25.470415
154.91597 0.48116026 2362.3718 0.00025507569 2.4406938 73.451465 0.0008991441 2.3779737 72.501558 0.0068062404 2.1502167 68.942167 0.064307138 1.4877035 57.345853 0.5081323 0.31097405 26.218382
156.47059 0.47164657 2315.662 0.00025003224 2.4906548 74.199433 0.00088136587 2.4272919 73.249526 0.0066716648 2.197126 69.690135 0.063035632 1.5267652 58.093821 0.49808531 0.32897031 26.96635
158.02521 0.46241228 2270.324 0.0002451369 2.541122 74.947401 0.00086410976 2.4771163 73.997494 0.0065410413 2.2445416 70.438102 0.061801468 1.566333 58.841788 0.48833338 0.34747276 27.714318
159.57983 0.45344655 2226.3047 0.00024038393 2.5920954 75.695369 0.0008473555 2.5274468 74.745462 0.0064142169 2.2924633 71.18607 0.060603197 1.606407 59.589756 0.47886507 0.36648138 28.462286
161.13445 0.44473907 2183.5532 0.00023576787 2.643575 76.443336 0.00083108384 2.5782835 75.49343 0.0062910455 2.3408913 71.934038 0.059439442 1.6469872 60.337724 0.46966948 0.38599619 29.210254
162.68908 0.43628002 2142.0215 0.0002312835 2.6955607 77.191304 0.00081527641 2.6296265 76.241397 0.0061713882 2.3898254 72.682006 0.058308888 1.6880735 61.085692 0.46073625 0.40601719 29.958221
164.2437 0.42806003 2101.6635 0.00022692587 2.7480527 77.939272 0.00079991572 2.6814756 76.989365 0.0060551125 2.4392657 73.429973 0.057210286 1.7296661 61.833659 0.45205548 0.42654436 30.706189
165.79832 0.42007019 2062.4354 0.00022269024 2.8010508 78.68724 0.0007849851 2.7338308 77.737333 0.0059420924 2.4892122 74.177941 0.056142442 1.7717648 62.581627 0.44361775 0.44757773 31.454157
167.35294 0.41230197 2024.2955 0.00021857211 2.8545551 79.435207 0.00077046863 2.7866923 78.485301 0.0058322072 2.5396648 74.925909 0.055104218 1.8143697 63.329595 0.43541408 0.46911727 32.202125
168.90756 0.40474726 1987.2038 0.00021456716 2.9085656 80.183175 0.00075635114 2.84006 79.233269 0.0057253423 2.5906237 75.673877 0.05409453 1.8574808 64.077563 0.42743588 0.491163 32.950093
170.46218 0.3973983 1951.1223 0.00021067128 2.9630823 80.931143 0.00074261815 2.8939338 79.981236 0.0056213878 2.6420887 76.421845 0.053112341 1.9010981 64.825531 0.41967497 0.51371491 33.69806
172.01681 0.39024769 1916.0147 0.00020688056 3.0181052 81.679111 0.00072925581 2.9483138 80.729204 0.005520239 2.6940599 77.169812 0.052156661 1.9452216 65.573498 0.41212352 0.53677301 34.446028
173.57143 0.38328836 1881.8462 0.00020319123 3.0736342 82.427079 0.00071625091 3.0032 81.477172 0.005421796 2.7465373 77.91778 0.051226545 1.9898512 66.321466 0.40477408 0.56033729 35.193996
175.12605 0.37651354 1848.5836 0.00019959972 3.1296694 83.175046 0.0007035908 3.0585924 82.22514 0.0053259629 2.7995209 78.665748 0.05032109 2.034987 67.069434 0.39761949 0.58440775 35.941964
