beta_neg beta_pos gamma_neg gamma_pos
0.32404601 11.008642 0.00074093859 0.020197848
0.32430067 11.035275 0.00074120409 0.020290437
0.32507469 11.064657 0.00074172696 0.020302891
0.32551821 11.071516 0.00074297282 0.020314903
0.32566871 11.074478 0.000743327 0.020338608
0.32627589 11.094151 0.00074335835 0.020377159
0.32637371 11.141466 0.00074516444 0.020395826
0.32650196 11.160673 0.00074557274 0.020410344
0.32725306 11.214109 0.00074586602 0.020454518
0.32728781 11.235445 0.00074610156 0.020455605
0.32732266 11.241003 0.0007472314 0.020503743
0.32742666 11.24375 0.00074734659 0.02054946
0.32750868 11.248895 0.00074848513 0.020550695
0.32822194 11.267645 0.00074888646 0.0205586
0.32830924 11.309214 0.00074896491 0.020568983
0.32830999 11.311952 0.00074973315 0.02057311
0.32850428 11.338485 0.0007498085 0.020574489
0.3288132 11.344176 0.00075025873 0.020579815
0.3291267 11.361093 0.00075106918 0.020596375
0.32920811 11.363579 0.0007511622 0.020597918
0.32962336 11.429104 0.00075144412 0.020602824
0.33002147 11.447413 0.00075158651 0.020657719
0.3302274 11.448452 0.00075201648 0.020665138
0.33041789 11.455738 0.0007525593 0.020687502
0.33066366 11.461329 0.00075269784 0.020700475
0.33146164 11.489612 0.00075334673 0.020757682
0.33234279 11.496516 0.00075343846 0.020769784
0.33259687 11.502058 0.00075344841 0.020807088
