r V0p5 V1 V3 V10 V30
48.084861 1.9670889e-42 1.7576435e-21 1.9889371e-07 0.021583681 0.75624539
49.974076 4.4108901e-44 2.6069284e-22 1.0396375e-07 0.017541607 0.69790392
51.937516 8.5262115e-46 3.5899636e-23 5.3014324e-08 0.014150702 0.64243791
53.978097 1.4124744e-47 4.5766446e-24 2.6347105e-08 0.011327265 0.5898309
56.098852 1.9932746e-49 5.3849825e-25 1.2748595e-08 0.0089945454 0.54005907
58.302929 2.381112e-51 5.8295285e-26 5.9996467e-09 0.0070827845 0.49309115
60.593603 2.3920771e-53 5.7872588e-27 2.7431474e-09 0.0055291403 0.44888842
62.974276 2.0072341e-55 5.2507962e-28 1.2171394e-09 0.0042775245 0.40740467
65.448483 1.3969379e-57 4.3386498e-29 5.234648e-10 0.0032783509 0.36858636
68.019899 8.0042459e-60 3.2528593e-30 2.1795093e-10 0.0024882104 0.33237272
70.692344 3.7472325e-62 2.2044413e-31 8.7740735e-11 0.0018694846 0.29869606
73.469788 1.4220015e-64 1.3450257e-32 3.4106772e-11 0.0013899134 0.267482
76.356355 4.3381594e-67 7.3581703e-34 1.278438e-11 0.001022129 0.23864991
79.356333 1.05488e-69 3.5938038e-35 4.6142159e-12 0.00074317294 0.21211335
82.474177 2.0263871e-72 1.5600879e-36 1.6012176e-12 0.00053400709 0.18778055
85.714519 3.0467816e-75 5.9916003e-38 5.3341686e-13 0.00037903232 0.16555508
89.082171 3.5512348e-78 2.0260282e-39 1.7031403e-13 0.0002656249 0.1453364
92.582136 3.1768159e-81 6.001845e-41 5.2032823e-14 0.00018369935 0.12702063
96.219611 2.1585593e-84 1.549541e-42 1.5184315e-14 0.00012530468 0.11050127
100 1.1020531e-87 3.4678001e-44 4.2249522e-15 8.4258418e-05 0.095669959
