lead cdf
108.39318 0.76269531
108.74982 0.76464844
109.00181 0.76660156
109.62559 0.76855469
109.78905 0.77050781
109.86555 0.77246094
110.23643 0.77441406
110.61575 0.77636719
111.01334 0.77832031
111.07733 0.78027344
111.42679 0.78222656
111.74576 0.78417969
111.87558 0.78613281
112.51746 0.78808594
112.90666 0.79003906
113.33644 0.79199219
113.49157 0.79394531
113.71105 0.79589844
113.97715 0.79785156
114.0279 0.79980469
114.82568 0.80175781
115.21252 0.80371094
116.18473 0.80566406
116.44678 0.80761719
116.59249 0.80957031
117.15334 0.81152344
117.54036 0.81347656
117.85743 0.81542969
117.92425 0.81738281
118.28039 0.81933594
118.44047 0.82128906
118.75141 0.82324219
118.91888 0.82519531
119.17412 0.82714844
119.39838 0.82910156
119.769 0.83105469
120.13399 0.83300781
121.63957 0.83496094
121.8081 0.83691406
122.23049 0.83886719
122.60127 0.84082031
123.4952 0.84277344
124.6334 0.84472656
124.85223 0.84667969
125.02479 0.84863281
125.55573 0.85058594
126.11684 0.85253906
127.02713 0.85449219
127.87516 0.85644531
128.29735 0.85839844
128.5435 0.86035156
129.24135 0.86230469
130.09519 0.86425781
130.42453 0.86621094
131.68042 0.86816406
132.50369 0.87011719
132.93151 0.87207031
133.23556 0.87402344
133.83433 0.87597656
134.18294 0.87792969
135.03624 0.87988281
135.33029 0.88183594
136.44594 0.88378906
136.8025 0.88574219
137.06764 0.88769531
137.66698 0.88964844
138.06141 0.89160156
138.63828 0.89355469
139.50295 0.89550781
139.73059 0.89746094
139.87803 0.89941406
140.01558 0.90136719
140.6552 0.90332031
141.61484 0.90527344
141.92351 0.90722656
142.02272 0.90917969
143.20347 0.91113281
143.29939 0.91308594
143.83398 0.91503906
144.42571 0.91699219
146.24972 0.91894531
146.44957 0.92089844
147.23776 0.92285156
147.97814 0.92480469
148.29567 0.92675781
149.05777 0.92871094
149.90106 0.93066406
150.85735 0.93261719
151.64136 0.93457031
151.96608 0.93652344
153.27916 0.93847656
153.81602 0.94042969
154.38499 0.94238281
154.68823 0.94433594
155.06853 0.94628906
156.48641 0.94824219
157.84247 0.95019531
158.43006 0.95214844
160.49919 0.95410156
161.07895 0.95605469
161.35115 0.95800781
162.30889 0.95996094
164.00167 0.96191406
165.98225 0.96386719
166.73479 0.96582031
169.36361 0.96777344
170.72032 0.96972656
172.47564 0.97167969
174.34327 0.97363281
175.84428 0.97558594
177.01835 0.97753906
177.44207 0.97949219
178.71474 0.98144531
180.10335 0.98339844
181.00777 0.98535156
182.49835 0.98730469
189.45509 0.98925781
191.38601 0.99121094
193.90771 0.99316406
195.52925 0.99511719
198.69634 0.99707031
215.8812 0.99902344
