z T3p0 th3p0 T3p5 th3p5 T4p0 th4p0 T4p5 th4p5 T5p0 th5p0 T6p0 th6p0
20.875 21.575173 0.18243011 21.268761 0.18221211 21.218534 0.18201371 23.984626 0.18204859 31.023397 0.18284255 44.918631 0.18699798
21.125 21.621829 0.18277925 21.318749 0.18256117 21.243968 0.18236078 23.763498 0.18237187 30.466469 0.18308176 44.141576 0.18697512
21.375 21.667211 0.18312467 21.367558 0.18290653 21.271272 0.18270438 23.562278 0.18269402 29.936459 0.18332711 43.37892 0.1869694
21.625 21.711337 0.18346644 21.415196 0.18324826 21.300131 0.18304453 23.379617 0.18301484 29.432742 0.18357778 42.631059 0.18698016
21.875 21.754225 0.18380464 21.461668 0.18358643 21.330263 0.18338131 23.214225 0.18333414 28.95465 0.18383301 41.898354 0.18700669
22.125 21.795892 0.18413931 21.506982 0.1839211 21.361416 0.18371474 23.064875 0.1836518 28.501477 0.18409215 41.181129 0.18704826
22.375 21.836356 0.18447054 21.551149 0.18425233 21.393368 0.18404488 22.930402 0.18396767 28.072482 0.18435457 40.47967 0.18710413
22.625 21.875634 0.18479838 21.594178 0.18458018 21.425921 0.18437177 22.809701 0.18428166 27.666901 0.18461971 39.794225 0.18717356
22.875 21.913745 0.18512288 21.636081 0.18490472 21.4589 0.18469546 22.70173 0.18459368 27.283949 0.18488708 39.125005 0.1872558
23.125 21.950705 0.18544411 21.676868 0.18522601 21.49215 0.185016 22.605502 0.18490364 26.922824 0.18515622 38.472184 0.18735011
23.375 21.986533 0.18576213 21.716553 0.18554408 21.525533 0.18533343 22.520092 0.1852115 26.582717 0.18542672 37.835898 0.18745575
23.625 22.021246 0.18607698 21.755147 0.18585901 21.558927 0.18564779 22.444629 0.1855172 26.262811 0.18569823 37.216246 0.187572
23.875 22.054862 0.18638873 21.792664 0.18617084 21.592228 0.18595913 22.378295 0.18582069 25.962288 0.18597041 36.613293 0.18769815
24.125 22.087398 0.18669741 21.829119 0.18647962 21.62534 0.1862675 22.320326 0.18612195 25.680333 0.18624298 36.027069 0.18783353
24.375 22.118873 0.18700308 21.864523 0.1867854 21.658181 0.18657293 22.270008 0.18642095 25.416136 0.18651566 35.45757 0.18797746
24.625 22.149304 0.1873058 21.898893 0.18708824 21.69068 0.18687547 22.226674 0.18671766 25.168895 0.18678824 34.904761 0.1881293
