t Tsurf Tprobe theta dTdt dlnR
13.416667 32.983738 27.610944 0.1485209 0.25774794 -0.00048710152
13.455556 33.032372 27.670793 0.14852305 0.25519691 -0.00048158582
13.494444 33.079864 27.730044 0.14852516 0.25261765 -0.00047602153
13.533333 33.126206 27.788689 0.14852723 0.2500105 -0.00047040925
13.572222 33.171396 27.846723 0.14852925 0.24737579 -0.00046474962
13.611111 33.215427 27.904139 0.14853122 0.24471386 -0.00045904325
13.65 33.258296 27.96093 0.14853314 0.24202506 -0.00045329078
13.688889 33.299998 28.017091 0.14853501 0.23930972 -0.00044749285
13.727778 33.340529 28.072615 0.14853683 0.23656821 -0.00044165008
13.766667 33.379884 28.127497 0.14853858 0.23380086 -0.00043576312
13.805556 33.418059 28.18173 0.14854028 0.23100803 -0.00042983261
13.844444 33.455052 28.235308 0.14854191 0.22819009 -0.00042385919
13.883333 33.490856 28.288225 0.14854348 0.22534738 -0.00041784352
13.922222 33.52547 28.340477 0.14854497 0.22248027 -0.00041178625
13.961111 33.558889 28.392056 0.1485464 0.21958912 -0.00040568802
14 33.59111 28.442958 0.14854776 0.2166743 -0.00039954949
14.038889 33.622129 28.493177 0.14854904 0.21373617 -0.00039337132
14.077778 33.651944 28.542708 0.14855024 0.21077511 -0.00038715418
14.116667 33.680551 28.591545 0.14855136 0.20779149 -0.00038089871
14.155556 33.707947 28.639684 0.1485524 0.20478567 -0.00037460559
14.194444 33.73413 28.687118 0.14855335 0.20175803 -0.00036827548
14.233333 33.759096 28.733843 0.14855422 0.19870894 -0.00036190904
14.272222 33.782844 28.779855 0.14855499 0.19563879 -0.00035550694
14.311111 33.80537 28.825147 0.14855568 0.19254794 -0.00034906985
14.35 33.826673 28.869716 0.14855627 0.18943678 -0.00034259845
14.388889 33.846749 28.913557 0.14855676 0.18630569 -0.00033609339
14.427778 33.865598 28.956664 0.14855715 0.18315504 -0.00032955536
14.466667 33.883217 28.999034 0.14855744 0.17998522 -0.00032298503
14.505556 33.899604 29.040663 0.14855763 0.17679661 -0.00031638306
14.544444 33.914757 29.081545 0.14855772 0.17358958 -0.00030975014
14.583333 33.928676 29.121676 0.14855769 0.17036453 -0.00030308694
14.622222 33.941358 29.161053 0.14855755 0.16712182 -0.00029639413
14.661111 33.952803 29.199671 0.1485573 0.16386186 -0.0002896724
14.7 33.963008 29.237527 0.14855694 0.16058501 -0.00028292241
14.738889 33.971973 29.274615 0.14855646 0.15729167 -0.00027614484
14.777778 33.979698 29.310934 0.14855586 0.1539822 -0.00026934037
14.816667 33.986181 29.346478 0.14855514 0.15065701 -0.00026250967
14.855556 33.991421 29.381245 0.1485543 0.14731647 -0.00025565343
14.894444 33.995418 29.41523 0.14855333 0.14396096 -0.00024877232
14.933333 33.998172 29.448431 0.14855224 0.14059087 -0.00024186702
14.972222 33.999683 29.480843 0.14855102 0.13720658 -0.00023493821
15.011111 33.999949 29.512464 0.14854966 0.13380847 -0.00022798656
15.05 33.998972 29.543291 0.14854818 0.13039693 -0.00022101275
15.088889 33.996751 29.57332 0.14854656 0.12697234 -0.00021401746
15.127778 33.993286 29.602548 0.1485448 0.12353508 -0.00020700138
15.166667 33.988579 29.630973 0.14854291 0.12008553 -0.00019996517
15.205556 33.982628 29.658591 0.14854088 0.11662408 -0.00019290952
15.244444 33.975436 29.685401 0.1485387 0.1131511 -0.00018583511
15.283333 33.967002 29.711398 0.14853638 0.10966699 -0.00017874262
15.322222 33.957328 29.736582 0.14853392 0.10617212 -0.00017163272
15.361111 33.946415 29.760948 0.14853132 0.10266687 -0.00016450611
15.4 33.934263 29.784496 0.14852856 0.099151629 -0.00015736346
15.438889 33.920874 29.807222 0.14852566 0.095626778 -0.00015020546
15.477778 33.906249 29.829124 0.1485226 0.092092699 -0.00014303278
15.516667 33.890391 29.850201 0.14851939 0.088549774 -0.00013584612
15.555556 33.8733 29.87045 0.14851603 0.084998386 -0.00012864616
15.594444 33.854978 29.889869 0.14851252 0.081438919 -0.00012143358
15.633333 33.835427 29.908457 0.14850885 0.077871754 -0.00011420907
15.672222 33.81465 29.926211 0.14850502 0.074297278 -0.00010697333
15.711111 33.792648 29.943131 0.14850104 0.070715873 -9.9727032e-05
15.75 33.769423 29.959214 0.14849689 0.067127924 -9.2470877e-05
15.788889 33.744979 29.974459 0.14849259 0.063533818 -8.5205556e-05
15.827778 33.719317 29.988864 0.14848812 0.059933938 -7.7931761e-05
15.866667 33.692441 30.002429 0.14848349 0.056328673 -7.0650189e-05
15.905556 33.664352 30.015152 0.14847869 0.05271841 -6.3361535e-05
15.944444 33.635055 30.027033 0.14847374 0.049103536 -5.6066498e-05
15.983333 33.604551 30.038069 0.14846861 0.04548444 -4.8765777e-05
16.022222 33.572845 30.04826 0.14846332 0.041861511 -4.1460074e-05
16.061111 33.539939 30.057605 0.14845787 0.038235141 -3.4150091e-05
16.1 33.505837 30.066104 0.14845224 0.034605721 -2.6836533e-05
16.138889 33.470542 30.073755 0.14844645 0.030973643 -1.9520106e-05
16.177778 33.434058 30.080559 0.14844048 0.0273393 -1.2201516e-05
16.216667 33.39639 30.086514 0.14843435 0.023703086 -4.8814745e-06
16.255556 33.357539 30.091621 0.14842805 0.020065397 2.4393094e-06
16.294444 33.317512 30.095878 0.14842157 0.01642663 9.7601235e-06
16.333333 33.276311 30.099286 0.14841493 0.012787181 1.7080254e-05
16.372222 33.233942 30.101846 0.14840811 0.009147448 2.4398987e-05
16.411111 33.190408 30.103555 0.14840112 0.0055078312 3.1715607e-05
16.45 33.145715 30.104416 0.14839396 0.0018687302 3.9029395e-05
16.488889 33.099866 30.104427 0.14838663 -0.0017694536 4.6339635e-05
16.527778 33.052866 30.10359 0.14837912 -0.0054063183 5.3645608e-05
16.566667 33.004721 30.101904 0.14837144 -0.0090414611 6.0946593e-05
16.605556 32.955435 30.09937 0.14836359 -0.012674478 6.8241871e-05
16.644444 32.905014 30.095988 0.14835556 -0.016304965 7.5530722e-05
16.683333 32.853462 30.09176 0.14834736 -0.019932517 8.2812423e-05
16.722222 32.800785 30.086685 0.14833899 -0.023556728 9.0086255e-05
16.761111 32.746989 30.080766 0.14833044 -0.027177191 9.7351497e-05
16.8 32.692078 30.074002 0.14832172 -0.030793501 0.00010460743
16.838889 32.63606 30.066394 0.14831283 -0.034405248 0.00011185333
16.877778 32.578939 30.057944 0.14830377 -0.038012027 0.00011908848
16.916667 32.520721 30.048654 0.14829453 -0.041613429 0.00012631216
16.955556 32.461413 30.038523 0.14828512 -0.045209047 0.00013352365
16.994444 32.40102 30.027554 0.14827554 -0.048798472 0.00014072224
17.033333 32.33955 30.015749 0.14826579 -0.052381297 0.00014790722
17.072222 32.277008 30.003108 0.14825586 -0.055957114 0.00015507787
17.111111 32.2134 29.989633 0.14824577 -0.059525516 0.00016223347
17.15 32.148734 29.975327 0.1482355 -0.063086097 0.00016937333
17.188889 32.083016 29.960191 0.14822507 -0.066638449 0.00017649674
17.227778 32.016252 29.944227 0.14821447 -0.070182169 0.000183603
17.266667 31.948451 29.927437 0.1482037 -0.07371685 0.0001906914
17.305556 31.879618 29.909823 0.14819276 -0.077242091 0.00019776125
17.344444 31.809761 29.891388 0.14818166 -0.080757487 0.00020481185
17.383333 31.738888 29.872133 0.14817039 -0.084262637 0.00021184253
17.422222 31.667005 29.852062 0.14815896 -0.087757143 0.00021885259
17.461111 31.59412 29.831177 0.14814736 -0.091240605 0.00022584135
17.5 31.52024 29.80948 0.1481356 -0.094712626 0.00023280814
17.538889 31.445374 29.786974 0.14812368 -0.098172812 0.00023975228
17.577778 31.369528 29.763662 0.1481116 -0.10162077 0.00024667311
17.616667 31.292712 29.739548 0.14809936 -0.10505611 0.00025356998
17.655556 31.214932 29.714633 0.14808696 -0.10847525 0.0003104046
