canopy duty lolp
0.0546154 0.610256 0
0.0546154 0.634615 0
0.0546154 0.658974 0
0.0546154 0.683333 0
0.0546154 0.707692 0
0.0546154 0.732051 0
0.0546154 0.75641 0
0.0546154 0.780769 0
0.0546154 0.805128 0
0.0546154 0.829487 0.0109589
0.0546154 0.853846 0.030137
0.0546154 0.878205 0.0420091
0.0546154 0.902564 0.0557078
0.0546154 0.926923 0.0694064
0.0546154 0.951282 0.086758
0.0546154 0.975641 0.10411
0.0546154 1 0.120548

0.0620513 0.05 0
0.0620513 0.074359 0
0.0620513 0.0987179 0
0.0620513 0.123077 0
0.0620513 0.147436 0
0.0620513 0.171795 0
0.0620513 0.196154 0
0.0620513 0.220513 0
0.0620513 0.244872 0
0.0620513 0.269231 0
0.0620513 0.29359 0
0.0620513 0.317949 0
0.0620513 0.342308 0
0.0620513 0.366667 0
0.0620513 0.391026 0
0.0620513 0.415385 0
0.0620513 0.439744 0
0.0620513 0.464103 0
0.0620513 0.488462 0
0.0620513 0.512821 0
0.0620513 0.537179 0
0.0620513 0.561538 0
0.0620513 0.585897 0
0.0620513 0.610256 0
0.0620513 0.634615 0
0.0620513 0.658974 0
0.0620513 0.683333 0
0.0620513 0.707692 0
0.0620513 0.732051 0
0.0620513 0.75641 0
0.0620513 0.780769 0
0.0620513 0.805128 0
0.0620513 0.829487 0
0.0620513 0.853846 0
0.0620513 0.878205 0
0.0620513 0.902564 0.00456621
0.0620513 0.926923 0.0210046
0.0620513 0.951282 0.0374429
0.0620513 0.975641 0.0484018
0.0620513 1 0.0575342

0.0694872 0.05 0
0.0694872 0.074359 0
0.0694872 0.0987179 0
0.0694872 0.123077 0
0.0694872 0.147436 0
0.0694872 0.171795 0
0.0694872 0.196154 0
0.0694872 0.220513 0
0.0694872 0.244872 0
0.0694872 0.269231 0
0.0694872 0.29359 0
0.0694872 0.317949 0
0.0694872 0.342308 0
0.0694872 0.366667 0
0.0694872 0.391026 0
0.0694872 0.415385 0
0.0694872 0.439744 0
0.0694872 0.464103 0
0.0694872 0.488462 0
0.0694872 0.512821 0
0.0694872 0.537179 0
0.0694872 0.561538 0
0.0694872 0.585897 0
0.0694872 0.610256 0
0.0694872 0.634615 0
0.0694872 0.658974 0
0.0694872 0.683333 0
0.0694872 0.707692 0
0.0694872 0.732051 0
0.0694872 0.75641 0
0.0694872 0.780769 0
0.0694872 0.805128 0
0.0694872 0.829487 0
0.0694872 0.853846 0
0.0694872 0.878205 0
0.0694872 0.902564 0
0.0694872 0.926923 0
0.0694872 0.951282 0
0.0694872 0.975641 0.000913242
0.0694872 1 0.0164384

0.0769231 0.05 0
0.0769231 0.074359 0
0.0769231 0.0987179 0
0.0769231 0.123077 0
0.0769231 0.147436 0
0.0769231 0.171795 0
0.0769231 0.196154 0
0.0769231 0.220513 0
0.0769231 0.244872 0
0.0769231 0.269231 0
0.0769231 0.29359 0
0.0769231 0.317949 0
0.0769231 0.342308 0
0.0769231 0.366667 0
0.0769231 0.391026 0
0.0769231 0.415385 0
0.0769231 0.439744 0
0.0769231 0.464103 0
0.0769231 0.488462 0
0.0769231 0.512821 0
0.0769231 0.537179 0
0.0769231 0.561538 0
0.0769231 0.585897 0
0.0769231 0.610256 0
0.0769231 0.634615 0
0.0769231 0.658974 0
0.0769231 0.683333 0
0.0769231 0.707692 0
0.0769231 0.732051 0
0.0769231 0.75641 0
0.0769231 0.780769 0
0.0769231 0.805128 0
0.0769231 0.829487 0
0.0769231 0.853846 0
0.0769231 0.878205 0
0.0769231 0.902564 0
0.0769231 0.926923 0
0.0769231 0.951282 0
0.0769231 0.975641 0
0.0769231 1 0

0.084359 0.05 0
0.084359 0.074359 0
0.084359 0.0987179 0
0.084359 0.123077 0
0.084359 0.147436 0
0.084359 0.171795 0
0.084359 0.196154 0
0.084359 0.220513 0
0.084359 0.244872 0
0.084359 0.269231 0
0.084359 0.29359 0
0.084359 0.317949 0
0.084359 0.342308 0
0.084359 0.366667 0
0.084359 0.391026 0
0.084359 0.415385 0
0.084359 0.439744 0
0.084359 0.464103 0
0.084359 0.488462 0
0.084359 0.512821 0
0.084359 0.537179 0
0.084359 0.561538 0
0.084359 0.585897 0
0.084359 0.610256 0
0.084359 0.634615 0
0.084359 0.658974 0
0.084359 0.683333 0
0.084359 0.707692 0
0.084359 0.732051 0
0.084359 0.75641 0
0.084359 0.780769 0
0.084359 0.805128 0
0.084359 0.829487 0
0.084359 0.853846 0
0.084359 0.878205 0
0.084359 0.902564 0
0.084359 0.926923 0
0.084359 0.951282 0
0.084359 0.975641 0
0.084359 1 0

0.0917949 0.05 0
0.0917949 0.074359 0
0.0917949 0.0987179 0
0.0917949 0.123077 0
0.0917949 0.147436 0
0.0917949 0.171795 0
0.0917949 0.196154 0
0.0917949 0.220513 0
0.0917949 0.244872 0
0.0917949 0.269231 0
0.0917949 0.29359 0
0.0917949 0.317949 0
0.0917949 0.342308 0
0.0917949 0.366667 0
0.0917949 0.391026 0
0.0917949 0.415385 0
0.0917949 0.439744 0
0.0917949 0.464103 0
0.0917949 0.488462 0
0.0917949 0.512821 0
0.0917949 0.537179 0
0.0917949 0.561538 0
0.0917949 0.585897 0
0.0917949 0.610256 0
0.0917949 0.634615 0
0.0917949 0.658974 0
0.0917949 0.683333 0
0.0917949 0.707692 0
0.0917949 0.732051 0
0.0917949 0.75641 0
0.0917949 0.780769 0
0.0917949 0.805128 0
0.0917949 0.829487 0
0.0917949 0.853846 0
0.0917949 0.878205 0
0.0917949 0.902564 0
