x y lead slope theta0 tamb elev
568.395 4310.955 78.67576 0.4815046 0.1311758 32.01175 95.0023
574.875 4310.955 78.55593 0.5832822 0.1311758 31.83717 122.773
581.355 4310.955 74.20636 10.2692 0.08 29.29955 509.8511
587.835 4310.955 76.12725 18.34219 0.08 26.9251 844.48
594.315 4310.955 75.09036 8.718215 0.08 27.69041 733.7348
600.795 4310.955 75.34774 18.03945 0.08 28.92336 542.0324
485.775 4310.415 78.65767 3.24748 0.1327167 31.78125 132.728
492.255 4310.415 74.71756 7.76983 0.08 32.29568 41.7791
498.735 4310.415 79.09187 0.4492074 0.1311758 32.62291 0.6571479
504.675 4310.415 79.7805 4.637769 0.1770695 32.49709 19.7457
511.155 4310.415 78.76939 6.813122 0.1408814 30.82359 268.8572
517.635 4310.415 79.1966 2.050961 0.2063678 29.4338 488.0935
524.115 4310.415 78.60686 9.192319 0.1257255 29.23278 494.2607
530.595 4310.415 79.48786 2.930137 0.1550943 28.6318 619.049
537.075 4310.415 75.41105 18.38942 0.08 26.29487 889.0885
543.555 4310.415 78.49927 10.88579 0.1047793 30.08918 389.9725
550.035 4310.415 76.78438 15.39529 0.08379343 29.89653 357.1711
556.515 4310.415 79.3684 1.978953 0.2283507 31.65673 147.7651
562.455 4310.415 78.17319 1.282757 0.1188593 31.64883 148.087
568.935 4310.415 79.60421 0.5613568 0.1849286 32.02356 94.66908
575.415 4310.415 79.3008 0.8481639 0.2684171 31.79402 127.265
581.895 4310.415 75.96754 13.99044 0.09376914 28.56629 569.7046
588.375 4310.415 77.30012 11.8133 0.08706763 27.88746 695.1404
594.855 4310.415 74.28723 5.000701 0.08 27.68716 766.145
601.335 4310.415 74.43737 7.661499 0.08 29.18491 540.2365
485.775 4309.875 75.01306 16.74936 0.08 32.28978 53.78255
491.715 4309.875 79.83387 4.782104 0.1710553 32.52799 22.50019
498.735 4309.875 78.82824 0.3993785 0.1311758 32.6116 2.811237
506.295 4309.875 74.98593 10.05215 0.08 31.3562 180.2448
512.775 4309.875 74.18788 9.454364 0.08 30.47697 299.7863
519.255 4309.875 77.9173 1.885929 0.100499 29.22831 525.1924
525.735 4309.875 78.28379 8.70521 0.1000948 29.28117 518.6469
532.215 4309.875 78.54312 4.760274 0.1472167 27.53961 769.4228
538.695 4309.875 76.00416 21.36307 0.08 26.15491 906.425
545.175 4309.875 74.53545 8.816822 0.08 29.48728 452.3202
551.115 4309.875 78.31646 5.615795 0.1241822 30.74226 273.3634
557.595 4309.875 77.7424 0.5008323 0.1164713 31.71876 141.6338
564.075 4309.875 79.7229 1.352562 0.1676273 31.88007 113.3387
570.555 4309.875 78.8932 0.2765964 0.1311758 31.98978 98.08786
577.035 4309.875 79.32267 1.105804 0.2399992 31.58855 161.0903
583.515 4309.875 75.6983 3.886369 0.08576083 28.07622 707.5879
589.995 4309.875 75.58058 13.36038 0.08 28.05932 680.7136
596.475 4309.875 74.94942 8.875059 0.08 28.93149 555.4041
602.955 4309.875 74.59464 9.541909 0.08 28.34587 658.7715
486.315 4309.335 79.803 7.723827 0.1877098 32.44307 2.093316
494.415 4309.335 77.33138 0.8759609 0.1311758 32.60294 3.674727
506.835 4309.335 75.04073 16.5551 0.08 31.2886 200.3382
513.315 4309.335 79.38393 7.182279 0.2474412 30.94782 240.3727
519.795 4309.335 76.13555 6.704118 0.08618103 28.93586 558.0689
526.275 4309.335 74.66176 4.857173 0.08169034 29.07848 538.4949
532.755 4309.335 78.44454 5.981034 0.0932108 27.47212 780.8325
539.235 4309.335 78.24489 13.8464 0.1053435 26.9372 820.4935
545.715 4309.335 79.18775 6.145755 0.151959 29.77982 418.9178
551.655 4309.335 74.5463 6.772683 0.08 30.01393 396.5278
558.135 4309.335 79.40608 1.509171 0.2172114 31.6716 148.3298
564.615 4309.335 79.41811 1.435765 0.2184035 31.83555 119.9952
571.095 4309.335 77.81106 0.464332 0.1311758 32.00154 97.3568
577.575 4309.335 78.42219 5.286342 0.1043832 31.29523 189.1903
584.055 4309.335 78.64538 3.710135 0.09195407 28.14355 692.5469
590.535 4309.335 75.52317 10.75926 0.08 28.13881 695.3602
597.015 4309.335 79.23514 3.302187 0.2045531 29.63458 459.004
602.955 4309.335 74.55408 8.464263 0.08 28.66975 613.1722
487.395 4308.795 75.5963 18.21782 0.08 32.15041 36.98207
500.895 4308.795 79.48212 0.1731613 0.2277421 32.62482 1.03249
510.615 4308.795 78.46461 0.9866957 0.1311758 30.88225 270.9483
517.095 4308.795 74.88531 12.79325 0.08 28.98262 517.0926
523.575 4308.795 74.9508 8.551716 0.08 27.91754 730.9481
530.055 4308.795 75.66835 17.19583 0.1036885 28.27037 621.3124
